epoch,util_pct,mem_mib
1790361742,0,4914
1790361747,0,4914
1790361752,0,4914
1790361757,0,4914
1790361763,0,4914
1790361768,9,4914
1790361773,0,4914
1790361778,0,4908
1790361784,11,4912
1790361789,0,4912
1790361794,19,4912
1790361799,11,4912
1790361804,0,4912
1790361810,0,4912
1790361815,11,4912
1790361820,15,4912
1790361825,1,4912
1790361831,12,4912
1790361836,0,4912
1790361841,0,4912
1790361846,0,4912
1790361852,1,4912
1790361857,15,4912
1790361862,0,4912
1790361867,11,4912
1790361872,0,4912
1790361878,0,4912
1790361883,0,4912
1790361888,0,4912
1790361893,10,4912
1790361899,6,4912
1790361904,10,4915
1790361909,12,4915
1790361914,10,4915
1790361919,11,4915
1790361925,10,4915
1790361930,0,4915
1790361935,9,4915
1790361940,28,4915
1790361946,10,4915
1790361951,12,4915
1790361956,0,4915
1790361961,2,4918
1790361967,0,4918
1790361972,20,4918
1790361977,0,4918
1790361982,11,4918
1790361987,0,4918
1790361993,0,4918
1790361998,0,4918
1790362003,0,4918
1790362008,0,4918
1790362014,0,4918
1790362019,0,4918
1790362024,0,4918
1790362029,12,4918
1790362035,7,4918
1790362040,0,4918
1790362045,0,4918
1790362050,0,4918
1790362056,11,4918
1790362061,0,4918
1790362066,11,4918
1790362071,0,4918
1790362077,6,4918
1790362082,0,4918
1790362087,12,4918
1790362092,0,4918
1790362097,10,4918
1790362103,0,4918
1790362108,13,4918
1790362113,11,4918
1790362118,22,4918
1790362123,11,4918
1790362129,0,4918
1790362134,0,4918
1790362139,11,4918
1790362144,0,4917
1790362150,0,4917
1790362155,0,4917
1790362160,0,4917
1790362165,11,4920
1790362170,11,4917
1790362176,0,4917
1790362181,9,4917
1790362186,0,4917
1790362191,16,4917
1790362197,11,4917
1790362202,11,4917
1790362207,0,4917
1790362212,0,4917
1790362218,0,4917
1790362223,10,4917
1790362228,10,4917
1790362233,11,4917
1790362239,0,4917
1790362244,0,4917
1790362249,10,4917
1790362254,0,4917
1790362260,10,4917
1790362265,0,4914
1790362270,1,4914
1790362275,14,4914
1790362281,10,4914
1790362286,25,4914
1790362291,20,4914
1790362296,0,4914
1790362301,0,4914
1790362307,0,4914
1790362312,0,4914
1790362317,0,4914
1790362322,11,4914
1790362328,17,4914
1790362333,12,4914
1790362338,0,4914
1790362343,0,4914
1790362349,17,4914
1790362354,8,4914
1790362359,11,4914
1790362364,10,4914
1790362369,0,4914
1790362375,0,4914
1790362380,0,4914
1790362385,0,4914
1790362390,10,4914
1790362396,10,4914
1790362401,24,4914
1790362406,0,4914
1790362411,20,4914
1790362416,0,4914
1790362422,11,4914
1790362427,24,4914
1790362432,0,4914
1790362438,0,4914
1790362443,11,4914
1790362448,10,4914
1790362453,0,4914
1790362458,0,4914
1790362464,0,4914
1790362469,9,4914
1790362474,0,4914
1790362479,10,4914
1790362485,12,4914
1790362490,13,4914
1790362495,0,4914
1790362500,2,4914
1790362505,0,4914
1790362511,15,4914
1790362516,6,4914
1790362521,0,4914
1790362526,0,4914
1790362532,0,4914
1790362537,11,4914
1790362542,10,4914
1790362547,6,4914
1790362552,0,4914
1790362558,0,4914
1790362563,20,4914
1790362568,0,4914
1790362573,0,4752
1790362580,0,4914
1790362585,0,4914
1790362590,0,4914
1790362596,0,4914
1790362601,2,4914
1790362606,3,4914
1790362611,0,4914
1790362617,0,4914
1790362622,15,4914
1790362627,0,4914
1790362632,0,4914
1790362637,0,4914
1790362643,0,4914
1790362648,0,4914
1790362653,0,4914
1790362658,0,4914
1790362664,0,4914
1790362669,18,4914
1790362674,0,4914
1790362679,0,4914
1790362685,18,4914
1790362690,0,4914
1790362695,13,4914
1790362700,0,4914
1790362705,0,4914
1790362711,12,4914
1790362716,0,4914
1790362721,0,4914
1790362726,23,4914
1790362731,15,4914
1790362737,0,4914
1790362742,19,4914
1790362747,10,4914
1790362752,0,4914
1790362758,0,4916
1790362763,0,4914
1790362768,38,4914
1790362773,12,4914
1790362779,0,4914
1790362784,12,4914
1790362789,0,4914
1790362794,0,4914
1790362800,0,4914
1790362805,0,4914
1790362810,0,4914
1790362815,0,4914
1790362821,0,4914
1790362826,11,4914
1790362831,0,4914
1790362836,0,4914
1790362841,0,4914
1790362847,24,4914
1790362852,0,4914
1790362857,18,4914
1790362862,0,4914
1790362868,0,4914
1790362873,0,4914
1790362878,0,4914
1790362883,0,4914
1790362889,0,4914
1790362894,0,4914
1790362899,0,4914
1790362904,14,4914
1790362910,0,4914
1790362915,17,4914
1790362920,12,4914
1790362925,0,4914
1790362930,0,4914
1790362936,0,4914
1790362941,0,4914
1790362946,0,4914
1790362951,0,4914
1790362957,0,4914
1790362962,0,4914
1790362967,11,4914
1790362972,0,4914
1790362977,0,4914
1790362983,13,4914
1790362988,0,4914
1790362993,2,4914
1790362998,12,4914
1790363004,12,4914
1790363009,0,4914
1790363014,0,4914
1790363019,0,4914
1790363024,0,4914
1790363030,0,4914
1790363035,0,4914
1790363040,0,4914
1790363045,0,4914
1790363051,0,4914
1790363056,18,4914
1790363061,0,4914
1790363066,0,4914
1790363072,0,4914
1790363077,0,4914
1790363082,1,4914
1790363087,11,4914
1790363092,11,4914
1790363098,0,4914
1790363103,0,4914
1790363108,0,4914
1790363113,5,4914
1790363119,0,4914
1790363124,0,4914
1790363129,12,4914
1790363134,0,4914
1790363140,0,4914
1790363145,0,4914
1790363150,0,4914
1790363155,0,4914
1790363160,34,4914
1790363166,0,4914
1790363171,0,4914
1790363176,0,4914
1790363181,0,4914
1790363187,0,4914
1790363192,0,4914
1790363197,0,4914
1790363202,0,4914
1790363207,0,4914
1790363213,0,4914
1790363218,0,4914
1790363223,0,4916
1790363228,0,4914
1790363234,0,4914
1790363239,13,4914
1790363244,0,4914
1790363249,0,4914
1790363254,0,4914
1790363259,0,4914
1790363265,0,4914
1790363270,0,4914
1790363275,0,4914
1790363280,0,4914
1790363286,38,6240
1790363291,26,6240
1790363296,43,6240
1790363301,36,6240
1790363307,31,6242
1790363313,70,6271
1790363318,32,6305
1790363323,39,6344
1790363329,31,6388
1790363334,63,6346
1790363339,66,6301
1790363345,70,6302
1790363350,76,6301
1790363355,59,6306
1790363360,66,6304
1790363366,53,6304
1790363371,56,6305
1790363376,64,6319
1790363381,53,6308
1790363387,64,6308
1790363392,73,6308
1790363397,44,6307
1790363403,44,6310
1790363408,54,6284
1790363413,36,6285
1790363418,54,6285
1790363424,49,6285
1790363429,43,6285
1790363434,47,6279
1790363440,47,6279
1790363445,42,6280
1790363450,55,6281
1790363455,64,6280
1790363461,49,6243
1790363466,58,6245
1790363471,52,6250
1790363477,65,6249
1790363482,57,6250
1790363487,59,6249
1790363493,52,6251
1790363498,55,6247
1790363504,36,6255
1790363510,48,6250
1790363515,42,6244
1790363521,47,6242
1790363526,52,6268
1790363532,48,6257
1790363538,31,6247
1790363543,51,6255
1790363549,47,6242
1790363555,30,6290
1790363560,44,6251
1790363566,58,6252
1790363571,49,6253
1790363577,56,6252
1790363582,50,6252
1790363588,39,6254
1790363594,55,6258
1790363599,40,6246
1790363605,51,6246
1790363610,44,6246
1790363616,44,6246
1790363621,43,6246
1790363627,59,6246
1790363632,41,6243
1790363638,34,6243
1790363643,60,6243
1790363649,40,6243
1790363655,49,6243
1790363660,56,6243
1790363666,51,6243
1790363671,54,6243
1790363677,49,6243
1790363682,66,6243
1790363688,39,6243
1790363693,46,6243
1790363699,44,6243
1790363705,64,6243
1790363710,64,6243
1790363716,41,6243
1790363721,45,6243
1790363727,35,6243
1790363732,46,6243
1790363738,35,6243
1790363743,43,6243
1790363749,50,6243
1790363754,54,6243
1790363760,39,6251
1790363765,59,6245
1790363771,56,6243
1790363776,38,6256
1790363782,34,6254
1790363788,56,6254
