epoch,util_pct,mem_mib
1790384637,9,2522
1790384642,11,2522
1790384648,0,2597
1790384653,8,2993
1790384658,23,2987
1790384663,16,2867
1790384669,15,2906
1790384674,0,2906
1790384679,7,2905
1790384684,12,2831
1790384689,1,2831
1790384695,24,2831
1790384700,12,2831
1790384705,25,2831
1790384710,0,2831
1790384716,0,2831
1790384721,26,2831
1790384726,23,2831
1790384731,0,2831
1790384737,23,2831
1790384742,1,3116
1790384747,0,2857
1790384752,0,2831
1790384757,22,2808
1790384763,16,2808
1790384768,27,2808
1790384773,0,2808
1790384778,1,2808
1790384784,2,2808
1790384789,1,2816
1790384794,12,2807
1790384799,13,2807
1790384804,0,2807
1790384810,0,2807
1790384815,1,2807
1790384820,24,2807
1790384825,23,2807
1790384830,21,2807
1790384836,11,2807
1790384841,34,2807
1790384846,0,2815
1790384851,0,2807
1790384857,0,2807
1790384862,26,2807
1790384867,31,2807
1790384872,13,2807
1790384877,24,2807
1790384883,22,2807
1790384888,10,2807
1790384893,35,2807
1790384898,12,2807
1790384904,45,2807
1790384909,0,2815
1790384914,12,2807
1790384919,0,2807
1790384924,13,2807
1790384930,1,2807
1790384935,21,2807
1790384940,19,2807
1790384945,23,2807
1790384951,11,2807
1790384956,34,2807
1790384961,0,2807
1790384966,24,2815
1790384971,25,2807
1790384977,14,2807
1790384982,0,2807
1790384987,0,2807
1790384992,26,2807
1790384998,23,2807
1790385003,13,2807
1790385008,0,2807
1790385013,12,2807
1790385018,25,2807
1790385024,0,2807
1790385029,13,2814
1790385034,13,2807
1790385039,0,2807
1790385045,23,2807
1790385050,0,2807
1790385055,20,2812
1790385060,23,2807
1790385065,0,2807
1790385071,0,2807
1790385076,22,2807
1790385081,0,2807
1790385086,13,2815
1790385091,13,2807
1790385097,0,2807
1790385102,14,2807
1790385107,24,2807
1790385112,11,2807
1790385117,14,2807
1790385123,1,3092
1790385134,18,3058
1790385140,0,3084
1790385145,20,2963
1790385150,13,2853
1790385155,1,2786
1790385161,25,2782
1790385166,27,2785
1790385171,18,2783
1790385176,0,2783
1790385181,12,2778
1790385187,12,2778
1790385192,14,2778
1790385197,0,2778
1790385202,14,2778
1790385208,15,2778
1790385213,12,2778
1790385218,27,2778
1790385223,29,2778
1790385228,1,2778
1790385234,26,2778
1790385239,1,2778
1790385244,11,2778
1790385249,13,2778
1790385254,28,2778
1790385260,0,2778
1790385265,9,2778
1790385270,25,2778
1790385275,0,2778
1790385280,0,2778
1790385286,14,2778
1790385291,38,2778
1790385296,21,2778
1790385301,12,2778
1790385307,0,2778
1790385312,19,2778
1790385317,27,2778
1790385322,13,2778
1790385327,13,2778
1790385333,0,2778
1790385338,31,2778
1790385343,1,2778
1790385348,0,2778
1790385354,2,2778
1790385359,35,2778
1790385364,27,2778
1790385369,18,2778
1790385374,28,2778
1790385380,27,2778
1790385385,0,2778
1790385390,14,2778
1790385396,26,2778
1790385401,22,2778
1790385406,2,2778
1790385411,0,2778
1790385416,13,2778
1790385422,0,2778
1790385427,26,2778
1790385432,23,2782
1790385437,27,2782
1790385443,28,2783
1790385448,22,2787
1790385453,0,2783
1790385458,16,2782
1790385463,25,2782
1790385469,0,2782
1790385474,0,2782
1790385479,14,2782
1790385484,36,2782
1790385490,23,2803
1790385495,1,2786
1790385500,1,2781
1790385505,2,2802
1790385510,25,2781
1790385516,4,2781
1790385521,56,2781
1790385526,17,2782
1790385531,18,2782
1790385537,24,2803
1790385542,0,2781
1790385547,22,2781
1790385552,32,2782
1790385557,22,2782
1790385563,1,2804
1790385568,20,2784
1790385573,11,2784
1790385578,29,2809
1790385584,16,2785
1790385589,0,2785
1790385594,2,2817
1790385599,13,2788
1790385604,0,2807
1790385610,0,2787
1790385615,1,2786
1790385620,0,2793
1790385626,0,2788
1790385631,0,2786
1790385636,15,2892
1790385641,16,2881
1790385646,17,2801
1790385652,6,2799
1790385657,17,2864
1790385662,14,2686
1790385668,7,2697
1790385673,6,2649
1790385678,5,2630
1790385683,16,2646
1790385689,8,2626
1790385694,17,2640
1790385699,17,2631
1790385704,8,2620
1790385710,27,2620
1790385715,13,2621
1790385720,19,2619
1790385726,25,2617
1790385731,18,2624
1790385736,17,2616
1790385741,18,2613
1790385747,17,2613
1790385752,27,2690
1790385757,9,2612
1790385762,9,2614
1790385767,19,2614
1790385773,9,2613
1790385778,17,2611
1790385783,9,2613
1790385788,9,2632
1790385794,9,2614
1790385799,3,2713
1790385804,15,2789
1790385809,10,2652
1790385815,19,2604
1790385820,2,2607
1790385825,11,2604
1790385830,2,2693
1790385835,12,2618
1790385841,19,2704
1790385846,4,2616
1790385851,2,2658
1790385856,20,2575
1790385861,11,2564
1790385867,3,2570
1790385872,12,2569
1790385877,19,2568
1790385882,14,2568
1790385888,13,2570
1790385893,12,2571
1790385898,11,2571
1790385903,11,2571
1790385909,2,2571
1790385914,11,2571
1790385919,14,2571
1790385924,11,2570
1790385929,2,2569
1790385935,11,2569
1790385940,2,2568
1790385945,12,2567
1790385950,11,2568
1790385956,11,2561
1790385961,2,2564
1790385966,2,2575
1790385972,1,2575
1790385978,1,2574
1790385984,1,2636
1790385990,2,2632
1790385996,1,2629
1790386002,1,2630
1790386008,1,2630
1790386014,1,2630
1790386020,2,2623
1790386026,2,2609
1790386032,1,2591
1790386038,1,2581
1790386044,2,2584
1790386050,1,2584
1790386056,10,2669
1790386062,2,2671
1790386068,1,2574
1790386074,1,2580
1790386080,1,2566
1790386086,2,2561
1790386092,5,2556
1790386099,1,2561
1790386104,2,2561
1790386110,2,2561
1790386116,19,2562
1790386122,2,2570
1790386129,2,2570
1790386135,2,2484
1790386141,2,2316
1790386147,1,2312
1790386153,1,2328
1790386159,1,2310
1790386165,2,2415
1790386171,1,2312
1790386177,2,2417
1790386183,1,2316
1790386189,1,2330
1790386195,2,2326
1790386201,2,2319
1790386207,2,2323
1790386213,5,2454
1790386219,4,2389
1790386225,4,2402
1790386231,4,2375
1790386237,4,2401
1790386243,4,2381
1790386249,3,2400
1790386255,4,2376
1790386262,12,2401
1790386267,1,2406
1790386273,2,2410
1790386280,2,2407
1790386286,16,2307
1790386292,3,2319
1790386298,4,2314
1790386304,4,2317
1790386310,3,2316
1790386316,4,2316
1790386322,4,2318
1790386328,4,2325
1790386334,13,2322
1790386340,3,2321
